t,norm,dipole,energy,nodes_re,nodes_im,overlap_analytic,dipole_analytic,energy_analytic,residual
2.500000000000e-01,1.000000000000e+00,0.000000000000e+00,5.007896858970e-01,10,2,0.000000000000e+00,nan,5.000000000000e-01,8.019271707374e-03
5.000000000000e-01,1.000000000000e+00,-6.798699777553e-17,5.007953849196e-01,10,2,0.000000000000e+00,nan,5.000000000000e-01,8.030445729611e-03
